,sentence,sent_length,end_of_par,final_punct,final_word
195,"""You'd be stiff if you'd been sitting on a brick wall all day,"" said Professor McGonagall.
",91,1,.,"McGonagall.
"
196,"""All day?",9,0,?,day?
197,When you could have been celebrating?,37,0,?,celebrating?
198,"I must have passed a dozen feasts and parties on my way here.""
",63,1,"""","here.""
"
199,"Professor McGonagall sniffed angrily.
",38,1,.,"angrily.
"
200,"""Oh yes, everyone's celebrating, all right,"" she said impatiently.",66,0,.,impatiently.
201,"""You'd think they'd be a bit more careful, but no - even the Muggles have noticed something's going on.",103,0,.,on.
202,"It was on their news.""",22,0,"""","news."""
203,She jerked her head back at the Dursleys' dark living-room window.,66,0,.,window.
204,"""I heard it.",12,0,.,it.
205,Flocks of owls ... shooting stars.,34,0,.,stars.
206,"... Well, they're not completely stupid.",40,0,.,stupid.
207,They were bound to notice something.,36,0,.,something.
208,Shooting stars down in Kent - I'll bet that was Dedalus Diggle.,63,0,.,Diggle.
209,"He never had much sense.""
",26,1,"""","sense.""
"
210,"""You can't blame them,"" said Dumbledore gently.",47,0,.,gently.
211,"""We've had precious little to celebrate for eleven years.""
",59,1,"""","years.""
"
212,"""I know that,"" said Professor McGonagall irritably.
",52,1,.,"irritably.
"
213,"""But that's no reason to lose our heads.",40,0,.,heads.
214,"People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.""
",129,1,"""","rumors.""
"
215,"She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn't, so she went on.",138,0,.,on.
216,"""A fine thing it would be if, on the very day You-Know-Who seems to have disappeared at last, the Muggles found out about us all.",129,0,.,all.
217,"I suppose he really has gone, Dumbledore?""
",43,1,"""","Dumbledore?""
"
218,"""It certainly seems so,"" said Dumbledore.",41,0,.,Dumbledore.
219,"""We have much to be thankful for.",33,0,.,for.
220,"Would you care for a lemon drop?""
",34,1,"""","drop?""
"
221,"""A what?""
",10,1,"""","what?""
"
222,"""A lemon drop.",14,0,.,drop.
223,"They're a kind of Muggle sweet I'm rather fond of.""
",52,1,"""","of.""
"
224,"""No, thank you,"" said Professor McGonagall coldly, as though she didn't think this was the moment for lemon drops.",114,0,.,drops.
225,"""As I say, even if You-Know-Who has gone - ""
",45,1,"""","""
"
226,"""My dear Professor, surely a sensible person like yourself can call him by his name?",84,0,?,name?
227,"All this You- Know-Who' nonsense - for eleven years I have been trying to persuade people to call him by his proper name: Voldemort.""",133,0,"""","Voldemort."""
228,"Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice.",104,0,.,notice.
229,"""It all gets so confusing if we keep saying You-Know-Who.'",58,0,',You-Know-Who.'
230,"I have never seen any reason to be frightened of saying Voldemort's name.""
",75,1,"""","name.""
"
231,"""I know you haven't,"" said Professor McGonagall, sounding half exasperated, half admiring.",90,0,.,admiring.
232,"""But you're different.",22,0,.,different.
233,"Everyone knows you're the only one You- Know- oh, all right, Voldemort, was frightened of.""",91,0,"""","of."""
234,"""You flatter me,"" said Dumbledore calmly.",41,0,.,calmly.
235,"""Voldemort had powers I will never have.""
",42,1,"""","have.""
"
236,"""Only because you're too - well - noble to use them.""
",54,1,"""","them.""
"
237,"""It's lucky it's dark.",22,0,.,dark.
238,"I haven't blushed so much since Madam Pomfrey told me she liked my new earmuffs.""
",82,1,"""","earmuffs.""
"
239,"Professor McGonagall shot a sharp look at Dumbledore and said, ""The owls are nothing next to the rumors that are flying around.",127,0,.,around.
240,You know what everyone's saying?,32,0,?,saying?
241,"About why he's disappeared?
",28,1,?,"disappeared?
"
242,"About what finally stopped him?""
",33,1,"""","him?""
"
243,"It seemed that Professor McGonagall had reached the point she was most anxious to discuss, the real reason she had been waiting on a cold, hard wall all day, for neither as a cat nor as a woman had she fixed Dumbledore with such a piercing stare as she did now.",261,0,.,now.
244,"It was plain that whatever ""everyone"" was saying, she was not going to believe it until Dumbledore told her it was true.",120,0,.,true.
245,"Dumbledore, however, was choosing another lemon drop and did not answer.
",73,1,.,"answer.
"
246,"""What they're saying,"" she pressed on, ""is that last night Voldemort turned up in Godric's Hollow.",98,0,.,Hollow.
247,He went to find the Potters.,28,0,.,Potters.
248,"The rumor is that Lily and James Potter are - are - that they're - dead.""
",74,1,"""","dead.""
"
249,Dumbledore bowed his head.,26,0,.,head.
250,"Professor McGonagall gasped.
",29,1,.,"gasped.
"
251,"""Lily and James ...",19,0,.,...
252,I can't believe it ...,22,0,.,...
253,"I didn't want to believe it ... Oh, Albus ...""
",47,1,"""","...""
"
254,Dumbledore reached out and patted her on the shoulder.,54,0,.,shoulder.
255,"""I know ...",11,0,.,...
256,"I know ..."" he said heavily.
",29,1,.,"heavily.
"
257,Professor McGonagall's voice trembled as she went on.,53,0,.,on.
258,"""That's not all.",16,0,.,all.
259,"They're saying he tried to kill the Potters' son, Harry.",56,0,.,Harry.
260,But - he couldn't.,18,0,.,couldn't.
261,He couldn't kill that little boy.,33,0,.,boy.
262,"No one knows why, or how, but they're saying that when he couldn't kill Harry Potter, Voldemort's power somehow broke - and that's why he's gone.""
",147,1,"""","gone.""
"
263,"Dumbledore nodded glumly.
",26,1,.,"glumly.
"
264,"""It's - it's true?""",19,0,"""","true?"""
265,faltered Professor McGonagall.,30,0,.,McGonagall.
266,"""After all he's done ... all the people he's killed ... he couldn't kill a little boy?",86,0,?,boy?
267,It's just astounding ... of all the things to stop him .,56,0,.,.
268,.,1,0,.,.
269,.,1,0,.,.
270,"but how in the name of heaven did Harry survive?""
",50,1,"""","survive?""
"
271,"""We can only guess,"" said Dumbledore.",37,0,.,Dumbledore.
272,"""We may never know.""
",21,1,"""","know.""
"
273,Professor McGonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles.,98,0,.,spectacles.
274,Dumbledore gave a great sniff as he took a golden watch from his pocket and examined it.,88,0,.,it.
275,It was a very odd watch.,24,0,.,watch.
276,"It had twelve hands but no numbers; instead, little planets were moving around the edge.",88,0,.,edge.
277,"It must have made sense to Dumbledore, though, because he put it back in his pocket and said, ""Hagrid's late.",109,0,.,late.
278,"I suppose it was he who told you I'd be here, by the way?""
",59,1,"""","way?""
"
279,"""Yes,"" said Professor McGonagall.",33,0,.,McGonagall.
280,"""And I don't suppose you're going to tell me why you're here, of all places?""
",78,1,"""","places?""
"
281,"""I've come to bring Harry to his aunt and uncle.",48,0,.,uncle.
282,"They're the only family he has left now.""
",42,1,"""","now.""
"
283,"""You don't mean - you can't mean the people who live here?""",59,0,"""","here?"""
284,"cried Professor McGonagall, jumping to her feet and pointing at number four.",76,0,.,four.
285,"""Dumbledore - you can't.",24,0,.,can't.
286,I've been watching them all day.,32,0,.,day.
287,You couldn't find two people who are less like us.,50,0,.,us.
288,"And they've got this son - I saw him kicking his mother all the way up the street, screaming for sweets.",104,0,.,sweets.
289,"Harry Potter come and live here!""
",34,1,"""","here!""
"
290,"""It's the best place for him,"" said Dumbledore firmly.",54,0,.,firmly.
291,"""His aunt and uncle will be able to explain everything to him when he's older.",78,0,.,older.
292,"I've written them a letter.""
",29,1,"""","letter.""
"
293,"""A letter?""",11,0,"""","letter?"""
294,"repeated Professor McGonagall faintly, sitting back down on the wall.",69,0,.,wall.
295,"""Really, Dumbledore, you think you can explain all this in a letter?",68,0,?,letter?
296,These people will never understand him!,39,0,!,him!
297,"He'll be famous - alegend - I wouldn't be surprised if today was known as Harry Potter Day in the future - there will be books written about Harry - every child in our world will know his name!""
",195,1,"""","name!""
"
298,"""Exactly,"" said Dumbledore, looking very seriously over the top of his half-moon glasses.",89,0,.,glasses.
299,"""It would be enough to turn any boy's head.",43,0,.,head.
300,Famous before he can walk and talk!,35,0,!,talk!
301,Famous for something he won't even remember!,44,0,!,remember!
302,"Can't you see how much better off he'll be, growing up away from all that until he's ready to take it?""
",104,1,"""","it?""
"
303,"Professor McGonagall opened her mouth, changed her mind, swallowed, and then said, ""Yes - yes, you're right, of course.",119,0,.,course.
304,"But how is the boy getting here, Dumbledore?""",45,0,"""","Dumbledore?"""
305,"She eyed his cloak suddenly as though she thought he might be hiding Harry underneath it.
",90,1,.,"it.
"
306,"""Hagrid's bringing him.""
",25,1,"""","him.""
"
307,"""You think it - wise - to trust Hagrid with something as important as this?""
",77,1,"""","this?""
"
308,"""I would trust Hagrid with my life,"" said Dumbledore.
",54,1,.,"Dumbledore.
"
309,"""I'm not saying his heart isn't in the right place,"" said Professor McGonagall grudgingly, ""but you can't pretend he's not careless.",132,0,.,careless.
310,"He does tend to - what was that?""
",34,1,"""","that?""
"
311,A low rumbling sound had broken the silence around them.,56,0,.,them.
312,"It grew steadily louder as they looked up and down the street for some sign of a headlight; it swelled to a roar as they both looked up at the sky - and a huge motorcycle fell out of the air and landed on the road in front of them.
",232,1,.,"them.
"
313,"If the motorcycle was huge, it was nothing to the man sitting astride it.",73,0,.,it.
314,He was almost twice as tall as a normal man and at least five times as wide.,76,0,.,wide.
315,"He looked simply too big to be allowed, and so wild - long tangles of bushy black hair and beard hid most of his face, he had hands the size of trash can lids, and his feet in their leather boots were like baby dolphins.",220,0,.,dolphins.
316,"In his vast, muscular arms he was holding a bundle of blankets.
",64,1,.,"blankets.
"
317,"""Hagrid,"" said Dumbledore, sounding relieved.",45,0,.,relieved.
318,"""At last.",9,0,.,last.
319,"And where did you get that motorcycle?""
",40,1,"""","motorcycle?""
"
320,"""Borrowed it, Professor Dumbledore, sir,"" said the giant, climbing carefully off the motorcycle as he spoke.",108,0,.,spoke.
321,"""Young Sirius Black lent it to me.",34,0,.,me.
322,"I've got him, sir.""
",20,1,"""","sir.""
"
323,"""No problems, were there?""
",27,1,"""","there?""
"
324,"""No, sir - house was almost destroyed, but I got him out all right before the Muggles started swarmin' around.",110,0,.,around.
325,"He fell asleep as we was flyin' over Bristol.""
",47,1,"""","Bristol.""
"
326,Dumbledore and Professor McGonagall bent forward over the bundle of blankets.,77,0,.,blankets.
327,"Inside, just visible, was a baby boy, fast asleep.",50,0,.,asleep.
328,"Under a tuft of jet-black hair over his forehead they could see a curiously shaped cut, like a bolt of lightning.
",114,1,.,"lightning.
"
329,"""Is that where - ?""",19,0,"""","?"""
330,"whispered Professor McGonagall.
",32,1,.,"McGonagall.
"
331,"""Yes,"" said Dumbledore.",23,0,.,Dumbledore.
332,"""Hell have that scar forever.""
",31,1,"""","forever.""
"
333,"""Couldn't you do something about it, Dumbledore?""
",50,1,"""","Dumbledore?""
"
334,"""Even if I could, I wouldn't.",29,0,.,wouldn't.
335,"Scars can come in handy.
",25,1,.,"handy.
"
336,I have one myself above my left knee that is a perfect map of the London Underground.,85,0,.,Underground.
337,"Well - give him here, Hagrid - we'd better get this over with.""
",64,1,"""","with.""
"
338,"Dumbledore took Harry in his arms and turned toward the Dursleys' house.
",73,1,.,"house.
"
339,"""Could I - could I say good-bye to him, sir?""",45,0,"""","sir?"""
340,asked Hagrid.,13,0,.,Hagrid.
341,"He bent his great, shaggy head over Harry and gave him what must have been a very scratchy, whiskery kiss.",106,0,.,kiss.
342,"Then, suddenly, Hagrid let out a howl like a wounded dog.
",58,1,.,"dog.
"
343,"""Shhh!""",7,0,"""","""Shhh!"""
344,"hissed Professor McGonagall, ""you'll wake the Muggles!""
",56,1,"""","Muggles!""
"
345,"""S-s-sorry,"" sobbed Hagrid, taking out a large, spotted handkerchief and burying his face in it.",96,0,.,it.
346,"""But I c-c- can't stand it - Lily an' James dead - an' poor little Harry off ter live with Muggles - ""
",103,1,"""","""
"
347,"""Yes, yes, it's all very sad, but get a grip on yourself, Hagrid, or we'll be found,"" Professor McGonagall whispered, patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door.",229,0,.,door.
348,"He laid Harry gently on the doorstep, took a letter out of his cloak, tucked it inside Harry's blankets, and then came back to the other two.",141,0,.,two.
349,"For a full minute the three of them stood and looked at the little bundle; Hagrid's shoulders shook, Professor McGonagall blinked furiously, and the twinkling light that usually shone from Dumbledore's eyes seemed to have gone out.
",232,1,.,"out.
"
350,"""Well,"" said Dumbledore finally, ""that's that.",46,0,.,that.
351,We've no business staying here.,31,0,.,here.
352,"We may as well go and join the celebrations.""
",46,1,"""","celebrations.""
"
353,"""Yeah,"" said Hagrid in a very muffled voice, ""I'd best get this bike away.",74,0,.,away.
